Matricule,DEPARTURE_TIME,ARRIVAL_TIME,AIRPORT_C_IS_DEP,CREDIT,CORPS,SENIORITY,ISSENIOR,Date
14823   ,0000,2359,TUN,0,PNC,14823,,7/1/2022
14806   ,0000,2359,MIR,8.4,PNC,14806,,7/1/2022
07514   ,0000,2359,MIR,11.35,PNC,7514,,7/1/2022
13785   ,0000,2359,MIR,12.21,PNC,13785,,7/1/2022
12974   ,0000,2359,MIR,12.28,PNC,8888,,7/1/2022
12946   ,0000,2359,MIR,13.33,PNC,12946,,7/1/2022
12939   ,0000,2359,MIR,13.35,PNC,12939,,7/1/2022
10455   ,0000,2359,MIR,14.7,PNC,10455,,7/1/2022
12931   ,0000,2359,MIR,15.1,PNC,12931,,7/1/2022
13344   ,0000,2359,MIR,15.4,PNC,13344,,7/1/2022
10226   ,0000,2359,MIR,15.45,PNC,10226,,7/1/2022
12949   ,0000,2359,MIR,15.48,PNC,12949,,7/1/2022
07521   ,0000,2359,MIR,15.5,PNC,7521,,7/1/2022
07547   ,0000,2359,MIR,15.5,PNC,7547,,7/1/2022
07532   ,0000,2359,MIR,15.5,PNC,7532,,7/1/2022
14395   ,0000,2359,MIR,16.3,PNC,14395,,7/1/2022
14739   ,0000,2359,MIR,16.35,PNC,14739,,7/1/2022
12398   ,0000,2359,MIR,16.45,PNC,12398,,7/1/2022
13784   ,0000,2359,MIR,17.1,PNC,13784,,7/1/2022
13349   ,0000,2359,MIR,17.15,PNC,13349,,7/1/2022
15093   ,0000,2359,MIR,17.3,PNC,15093,,7/1/2022
12926   ,0000,2359,MIR,17.5,PNC,12926,,7/1/2022
14772   ,0000,2359,MIR,17.55,PNC,14772,,7/1/2022
07612   ,0000,2359,MIR,18.2,PNC,7612,,7/1/2022
13757   ,0000,2359,MIR,18.35,PNC,13757,,7/1/2022
14783   ,0000,2359,MIR,19.1,PNC,14783,,7/1/2022
07518   ,0000,2359,MIR,19.2,PNC,7518,,7/1/2022
14766   ,0000,2359,MIR,19.3,PNC,14766,,7/1/2022
12943   ,0000,2359,MIR,19.4,PNC,12943,,7/1/2022
15079   ,0000,2359,MIR,19.4,PNC,15079,,7/1/2022
15098   ,0000,2359,MIR,19.41,PNC,15098,,7/1/2022
14361   ,0000,2359,MIR,19.55,PNC,14361,,7/1/2022
14776   ,0000,2359,MIR,20.17,PNC,14776,,7/1/2022
12452   ,0000,2359,MIR,20.45,PNC,12452,,7/1/2022
10568   ,0000,2359,MIR,20.5,PNC,10568,,7/1/2022
13764   ,0000,2359,MIR,20.5,PNC,13764,,7/1/2022
14763   ,0000,2359,MIR,21,PNC,14763,,7/1/2022
07549   ,0000,2359,MIR,21.25,PNC,7549,,7/1/2022
14423   ,0000,2359,MIR,21.25,PNC,14423,,7/1/2022
18279   ,0000,2359,TUN,21.25,PNT,18279,,7/1/2022
09192   ,0000,2359,MIR,21.3,PNC,9192,,7/1/2022
14473   ,0000,2359,MIR,21.4,PNC,14473,,7/1/2022
09194   ,0000,2359,MIR,21.45,PNC,9194,,7/1/2022
15097   ,0000,2359,MIR,21.5,PNC,15097,,7/1/2022
13385   ,0000,2359,MIR,21.58,PNC,13385,,7/1/2022
13422   ,0000,2359,MIR,21.59,PNC,13422,,7/1/2022
09190   ,0000,2359,MIR,21.9,PNC,9190,,7/1/2022
12932   ,0000,2359,MIR,22.11,PNC,12932,,7/1/2022
14464   ,0000,2359,MIR,22.2,PNC,14464,,7/1/2022
13415   ,0000,2359,MIR,22.33,PNC,13415,,7/1/2022
10314   ,0000,2359,MIR,22.4,PNC,10314,,7/1/2022
14387   ,0000,2359,MIR,22.5,PNC,14387,,7/1/2022
16338   ,0000,2359,MIR,22.5,PNC,16338,,7/1/2022
14420   ,0000,2359,MIR,23,PNC,14420,,7/1/2022
12458   ,0000,2359,MIR,23.15,PNC,12458,,7/1/2022
08928   ,0000,2359,MIR,23.25,PNC,8928,,7/1/2022
15259   ,0000,2359,TUN,23.25,PNT,15259,,7/1/2022
14488   ,0000,2359,MIR,23.27,PNC,14488,,7/1/2022
14662   ,0000,2359,TUN,23.41,PNT,14662,,7/1/2022
11045   ,0000,2359,MIR,23.44,PNC,11045,,7/1/2022
13354   ,0000,2359,MIR,23.48,PNC,13354,,7/1/2022
08927   ,0000,2359,MIR,23.7,PNC,8927,,7/1/2022
13705   ,0000,2359,MIR,24.19,PNC,13705,,7/1/2022
13765   ,0000,2359,MIR,24.35,PNC,13765,,7/1/2022
08810   ,0000,2359,MIR,24.55,PNC,8810,,7/1/2022
10813   ,0000,2359,TUN,25,PNT,10813,,7/1/2022
13423   ,0000,2359,MIR,26.12,PNC,13423,,7/1/2022
13420   ,0000,2359,MIR,26.19,PNC,13420,,7/1/2022
15228   ,0000,2359,TUN,26.55,PNT,15228,,7/1/2022
09184   ,0000,2359,MIR,27.11,PNC,9184,,7/1/2022
15002   ,0000,2359,TUN,27.35,PNT,15002,,7/1/2022
07820   ,0000,2359,TUN,28.17,PNT,7820,,7/1/2022
18284   ,0000,2359,TUN,29.4,PNT,18284,,7/1/2022
15095   ,0000,2359,MIR,29.42,PNC,15095,,7/1/2022
13374   ,0000,2359,TUN,30.25,PNC,13374,,7/1/2022
14734   ,0000,2359,TUN,32,PNT,14734,,7/1/2022
13234   ,0000,2359,TUN,32.25,PNC,13234,,7/1/2022
12195   ,0000,2359,TUN,33.28,PNT,12195,,7/1/2022
08803   ,0000,2359,TUN,33.3,PNC,8803,,7/1/2022
15256   ,0000,2359,TUN,33.5,PNT,15256,,7/1/2022
15151   ,0000,2359,TUN,33.8,PNT,0,,7/1/2022
14973   ,0000,2359,TUN,34.2,PNT,14973,,7/1/2022
10831   ,0000,2359,TUN,34.45,PNT,10831,,7/1/2022
15241   ,0000,2359,TUN,35.1,PNT,15241,,7/1/2022
10303   ,0000,2359,MIR,35.5,PNC,10303,,7/1/2022
11309   ,0000,2359,TUN,36.45,PNC,11309,,7/1/2022
11231   ,0000,2359,TUN,37.2,PNT,11231,,7/1/2022
12619   ,0000,2359,TUN,37.32,PNT,12619,,7/1/2022
13176   ,0000,2359,TUN,37.45,PNT,13176,,7/1/2022
13444   ,0000,2359,TUN,38.36,PNT,13444,,7/1/2022
15257   ,0000,2359,TUN,38.42,PNT,15257,,7/1/2022
13740   ,0000,2359,DJE,38.5,PNC,13740,,7/1/2022
07533   ,0000,2359,TUN,39.18,PNC,7533,,7/1/2022
15143   ,0000,2359,TUN,39.52,PNT,0,,7/1/2022
