day_of_origin,tlc,ac_type_code,airline,flight_no,departure_date,departure_time,arrival_date,arrival_time,airport_c_is_dep,airport_c_is_dest,code,type
1/1/2021,06331   ,,   ,    ,1/1/2021,0000,1/1/2021,2359,TUN,   ,OFF      ,
1/2/2021,06331   ,32A,TU ,860,1/2/2021,1400,1/2/2021,1545,TUN,LYS,         ,L
1/2/2021,06331   ,32A,TU ,861,1/2/2021,1647,1/2/2021,1827,LYS,TUN,         ,L
1/3/2021,06331   ,,   ,    ,1/3/2021,0000,1/3/2021,2359,TUN,   ,OFF      ,
1/4/2021,06331   ,,   ,    ,1/4/2021,0000,1/4/2021,2359,TUN,   ,OFF      ,
1/5/2021,06331   ,,   ,    ,1/5/2021,0000,1/5/2021,2359,TUN,   ,OFF      ,
1/6/2021,06331   ,,   ,    ,1/6/2021,0000,1/6/2021,2359,TUN,   ,OFF      ,
1/7/2021,06331   ,,   ,    ,1/7/2021,0000,1/7/2021,2359,TUN,   ,OFF      ,
1/8/2021,06331   ,,   ,    ,1/8/2021,0000,1/8/2021,2359,TUN,   ,OFF      ,
1/9/2021,06331   ,320,TU ,756,1/9/2021,0749,1/9/2021,0922,TUN,MXP,         ,L
1/9/2021,06331   ,320,TU ,757,1/9/2021,1039,1/9/2021,1227,MXP,TUN,         ,L
1/10/2021,06331   ,,   ,    ,1/10/2021,0000,1/10/2021,2359,TUN,   ,OFF      ,
1/11/2021,06331   ,332,TU ,722,1/11/2021,1652,1/11/2021,1912,TUN,ORY,         ,L
1/11/2021,06331   ,332,TU ,723,1/11/2021,2017,1/11/2021,2229,ORY,TUN,         ,L
1/12/2021,06331   ,,   ,    ,1/12/2021,0000,1/12/2021,2359,TUN,   ,OFF      ,
1/13/2021,06331   ,,   ,    ,1/13/2021,0000,1/13/2021,2359,TUN,   ,OFF      ,
1/14/2021,06331   ,,   ,    ,1/14/2021,0000,1/14/2021,2359,TUN,   ,OFF      ,
1/16/2021,06331   ,,   ,    ,1/16/2021,0000,1/16/2021,2359,TUN,   ,OFF      ,
1/17/2021,06331   ,,   ,    ,1/17/2021,0000,1/17/2021,2359,TUN,   ,OFF      ,
1/18/2021,06331   ,,   ,    ,1/18/2021,0000,1/18/2021,2359,TUN,   ,OFF      ,
1/20/2021,06331   ,,   ,    ,1/20/2021,0000,1/20/2021,2359,TUN,   ,OFF      ,
1/21/2021,06331   ,,   ,    ,1/21/2021,0000,1/21/2021,2359,TUN,   ,OFF      ,
1/22/2021,06331   ,320,TU ,542,1/22/2021,1131,1/22/2021,1329,TUN,MUC,         ,L
1/22/2021,06331   ,320,TU ,543,1/22/2021,1431,1/22/2021,1644,MUC,TUN,         ,L
1/23/2021,06331   ,,   ,    ,1/23/2021,0000,1/23/2021,2359,TUN,   ,OFF      ,
1/24/2021,06331   ,,   ,    ,1/24/2021,0000,1/24/2021,2359,TUN,   ,OFF      ,
1/26/2021,06331   ,,   ,    ,1/26/2021,0000,1/26/2021,2359,TUN,   ,OFF      ,
1/27/2021,06331   ,,   ,    ,1/27/2021,0000,1/27/2021,2359,TUN,   ,OFF      ,
1/28/2021,06331   ,,   ,    ,1/28/2021,0000,1/28/2021,2359,TUN,   ,OFF      ,
1/29/2021,06331   ,,   ,    ,1/29/2021,0000,1/29/2021,2359,TUN,   ,OFF      ,
1/30/2021,06331   ,32A,TU ,756,1/30/2021,0737,1/30/2021,0915,TUN,MXP,         ,L
1/30/2021,06331   ,32A,TU ,757,1/30/2021,1052,1/30/2021,1232,MXP,TUN,         ,L
1/31/2021,06331   ,,   ,    ,1/31/2021,0000,1/31/2021,2359,TUN,   ,OFF      ,
1/1/2021,07042   ,,   ,    ,1/1/2021,0000,1/1/2021,2359,TUN,   ,OFF      ,
1/2/2021,07042   ,320,TU ,720,1/2/2021,0940,1/2/2021,1158,TUN,ORY,         ,L
1/2/2021,07042   ,320,TU ,721,1/2/2021,1256,1/2/2021,1530,ORY,TUN,         ,L
1/3/2021,07042   ,,   ,    ,1/3/2021,0000,1/3/2021,2359,TUN,   ,OFF      ,
1/4/2021,07042   ,,   ,    ,1/4/2021,0000,1/4/2021,2359,TUN,   ,OFF      ,
1/5/2021,07042   ,,   ,    ,1/5/2021,0000,1/5/2021,2359,TUN,   ,OFF      ,
1/6/2021,07042   ,,   ,    ,1/6/2021,0000,1/6/2021,2359,TUN,   ,OFF      ,
1/7/2021,07042   ,,   ,    ,1/7/2021,0000,1/7/2021,2359,TUN,   ,OFF      ,
1/8/2021,07042   ,,   ,    ,1/8/2021,0000,1/8/2021,2359,TUN,   ,OFF      ,
1/9/2021,07042   ,,   ,    ,1/9/2021,0000,1/9/2021,2359,TUN,   ,OFF      ,
1/10/2021,07042   ,,   ,    ,1/10/2021,0000,1/10/2021,2359,TUN,   ,OFF      ,
1/11/2021,07042   ,,   ,    ,1/11/2021,0000,1/11/2021,2359,TUN,   ,OFF      ,
1/12/2021,07042   ,,   ,    ,1/12/2021,0000,1/12/2021,2359,TUN,   ,OFF      ,
1/13/2021,07042   ,,   ,    ,1/13/2021,0000,1/13/2021,2359,TUN,   ,OFF      ,
1/14/2021,07042   ,,   ,    ,1/14/2021,0000,1/14/2021,2359,TUN,   ,OFF      ,
1/16/2021,07042   ,,   ,    ,1/16/2021,0000,1/16/2021,2359,TUN,   ,OFF      ,
1/17/2021,07042   ,31B,TU ,399,1/17/2021,2016,1/18/2021,0127,TUN,ABJ,         ,L
1/19/2021,07042   ,31B,TU ,399,1/19/2021,2225,1/19/2021,2355,ABJ,BKO,         ,L
1/20/2021,07042   ,31B,TU ,399,1/20/2021,0105,1/20/2021,0530,BKO,TUN,         ,L
1/21/2021,07042   ,,   ,    ,1/21/2021,0000,1/21/2021,2359,TUN,   ,OFF      ,
1/22/2021,07042   ,,   ,    ,1/22/2021,0000,1/22/2021,2359,TUN,   ,OFF      ,
1/24/2021,07042   ,,   ,    ,1/24/2021,0000,1/24/2021,2359,TUN,   ,OFF      ,
1/25/2021,07042   ,,   ,    ,1/25/2021,0000,1/25/2021,2359,TUN,   ,OFF      ,
1/26/2021,07042   ,,   ,    ,1/26/2021,0000,1/26/2021,2359,TUN,   ,OFF      ,
1/27/2021,07042   ,,   ,    ,1/27/2021,0000,1/27/2021,2359,TUN,   ,OFF      ,
1/29/2021,07042   ,,   ,    ,1/29/2021,0000,1/29/2021,2359,TUN,   ,OFF      ,
1/30/2021,07042   ,,   ,    ,1/30/2021,0000,1/30/2021,2359,TUN,   ,OFF      ,
1/31/2021,07042   ,,   ,    ,1/31/2021,0000,1/31/2021,2359,TUN,   ,OFF      ,
1/1/2021,07041   ,,   ,    ,1/1/2021,0100,1/1/2021,2300,TUN,   ,CA       ,
1/2/2021,07041   ,,   ,    ,1/2/2021,0100,1/2/2021,2300,TUN,   ,CA       ,
1/3/2021,07041   ,,   ,    ,1/3/2021,0100,1/3/2021,2300,TUN,   ,CA       ,
1/4/2021,07041   ,320,TU ,526,1/4/2021,1319,1/4/2021,1538,TUN,DUS,         ,L
1/4/2021,07041   ,320,TU ,527,1/4/2021,1704,1/4/2021,1928,DUS,TUN,         ,L
1/5/2021,07041   ,,   ,    ,1/5/2021,0700,1/5/2021,1500,TUN,   ,BUREAU   ,
1/6/2021,07041   ,,   ,    ,1/6/2021,0700,1/6/2021,1500,TUN,   ,BUREAU   ,
1/7/2021,07041   ,,   ,    ,1/7/2021,0700,1/7/2021,1500,TUN,   ,BUREAU   ,
1/8/2021,07041   ,,   ,    ,1/8/2021,0700,1/8/2021,1500,TUN,   ,BUREAU   ,
1/9/2021,07041   ,,   ,    ,1/9/2021,0000,1/9/2021,2359,TUN,   ,OFF      ,
1/10/2021,07041   ,,   ,    ,1/10/2021,0000,1/10/2021,2359,TUN,   ,OFF      ,
1/11/2021,07041   ,,   ,    ,1/11/2021,0700,1/11/2021,1500,TUN,   ,BUREAU   ,
1/12/2021,07041   ,320,TU ,716,1/12/2021,0601,1/12/2021,0828,TUN,ORY,         ,L
1/12/2021,07041   ,320,TU ,717,1/12/2021,0928,1/12/2021,1137,ORY,TUN,         ,L
1/13/2021,07041   ,,   ,    ,1/13/2021,0700,1/13/2021,1200,TUN,   ,RU       ,
1/14/2021,07041   ,,   ,    ,1/14/2021,0700,1/14/2021,1500,TUN,   ,BUREAU   ,
1/15/2021,07041   ,332,TU ,202,1/15/2021,0941,1/15/2021,1906,TUN,YUL,         ,L
1/16/2021,07041   ,332,TU ,203,1/16/2021,2016,1/17/2021,0500,YUL,TUN,         ,L
1/18/2021,07041   ,,   ,    ,1/18/2021,0700,1/18/2021,1500,TUN,   ,BUREAU   ,
1/19/2021,07041   ,,   ,    ,1/19/2021,0700,1/19/2021,1500,TUN,   ,BUREAU   ,
1/20/2021,07041   ,,   ,    ,1/20/2021,0700,1/20/2021,1500,TUN,   ,BUREAU   ,
1/21/2021,07041   ,,   ,    ,1/21/2021,0700,1/21/2021,1500,TUN,   ,BUREAU   ,
1/22/2021,07041   ,,   ,    ,1/22/2021,0700,1/22/2021,1500,TUN,   ,BUREAU   ,
1/23/2021,07041   ,,   ,    ,1/23/2021,0000,1/23/2021,2359,TUN,   ,OFF      ,
1/24/2021,07041   ,,   ,    ,1/24/2021,0000,1/24/2021,2359,TUN,   ,OFF      ,
1/25/2021,07041   ,,   ,    ,1/25/2021,0700,1/25/2021,1500,TUN,   ,BUREAU   ,
1/26/2021,07041   ,,   ,    ,1/26/2021,0700,1/26/2021,1500,TUN,   ,BUREAU   ,
1/27/2021,07041   ,,   ,    ,1/27/2021,0700,1/27/2021,1500,TUN,   ,BUREAU   ,
1/28/2021,07041   ,,   ,    ,1/28/2021,0700,1/28/2021,1500,TUN,   ,BUREAU   ,
1/29/2021,07041   ,,   ,    ,1/29/2021,0700,1/29/2021,1500,TUN,   ,BUREAU   ,
1/30/2021,07041   ,,   ,    ,1/30/2021,0000,1/30/2021,2359,TUN,   ,OFF      ,
